,data_id,job_id,idbigfarm,plangyear,water,disaster,suitability,plant_maintenance,plant_breed,plant_sale_price,produce
0,187975,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
1,187976,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
2,187977,116,172,2560,14.2857,100.0,75.0,850.00,0101,9.00,500.0
3,187978,116,172,2560,14.2857,0.0,75.0,850.00,0101,9.00,500.0
4,187979,116,172,2560,14.2857,0.0,50.0,850.00,0101,9.00,500.0
5,187980,116,172,2560,14.2857,100.0,50.0,850.00,0101,9.00,500.0
6,187981,116,172,2560,0.0,0.0,75.0,850.00,0101,9.00,500.0
7,187982,116,172,2560,0.0,100.0,75.0,850.00,0101,9.00,500.0
8,187983,116,172,2560,0.0,100.0,50.0,850.00,0101,9.00,500.0
9,187984,116,172,2560,14.2857,100.0,75.0,850.00,0101,9.00,500.0
10,187985,116,172,2560,0.0,100.0,75.0,850.00,0101,9.00,500.0
11,187986,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
12,187987,116,172,2560,14.2857,100.0,75.0,850.00,0101,9.00,500.0
13,187988,116,172,2560,14.2857,0.0,75.0,850.00,0101,9.00,500.0
14,187989,116,172,2560,14.2857,100.0,50.0,850.00,0101,9.00,500.0
15,187990,116,172,2560,14.2857,0.0,75.0,850.00,0101,9.00,500.0
16,187991,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
17,187992,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
18,187993,116,172,2560,14.2857,0.0,50.0,850.00,0101,9.00,500.0
19,187994,116,172,2560,14.2857,100.0,100.0,850.00,0101,9.00,500.0
20,187995,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
21,187996,116,172,2560,0.0,0.0,100.0,850.00,0101,9.00,500.0
22,187997,116,172,2560,14.2857,0.0,75.0,850.00,0101,9.00,500.0
23,187998,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
24,187999,116,172,2560,14.2857,0.0,50.0,850.00,0101,9.00,500.0
25,188000,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
26,188001,116,172,2560,14.2857,0.0,75.0,850.00,0101,9.00,500.0
27,188002,116,172,2560,14.2857,0.0,75.0,850.00,0101,9.00,500.0
28,188003,116,172,2560,14.2857,100.0,75.0,850.00,0101,9.00,500.0
29,188004,116,172,2560,0.0,0.0,100.0,850.00,0101,9.00,500.0
30,188005,116,172,2560,14.2857,100.0,100.0,850.00,0101,9.00,500.0
31,188006,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
32,188007,116,172,2560,0.0,100.0,50.0,850.00,0101,9.00,500.0
33,188008,116,172,2560,0.0,0.0,75.0,850.00,0101,9.00,500.0
34,188009,116,172,2560,0.0,0.0,75.0,850.00,0101,9.00,500.0
35,188010,116,172,2560,0.0,0.0,75.0,850.00,0101,9.00,500.0
36,188011,116,172,2560,14.2857,100.0,75.0,850.00,0101,9.00,500.0
37,188012,116,172,2560,0.0,100.0,75.0,850.00,0101,9.00,500.0
38,188013,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
39,188014,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
40,188015,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
41,188016,116,172,2560,0.0,0.0,100.0,850.00,0101,9.00,500.0
42,188017,116,172,2560,0.0,100.0,75.0,850.00,0101,9.00,500.0
43,188018,116,172,2560,0.0,100.0,75.0,850.00,0101,9.00,500.0
44,188019,116,172,2560,0.0,0.0,75.0,850.00,0101,9.00,500.0
45,188020,116,172,2560,0.0,100.0,75.0,850.00,0101,9.00,500.0
46,188021,116,172,2560,0.0,100.0,75.0,850.00,0101,9.00,500.0
47,188022,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
48,188023,116,172,2560,0.0,0.0,100.0,850.00,0101,9.00,500.0
49,188024,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
50,188025,116,172,2560,0.0,0.0,50.0,850.00,0101,9.00,500.0
51,188026,116,172,2560,0.0,100.0,50.0,850.00,0101,9.00,500.0
52,188027,116,172,2560,0.0,100.0,50.0,850.00,0101,9.00,500.0
53,188028,116,172,2560,0.0,100.0,50.0,850.00,0101,9.00,500.0
54,188029,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
55,188030,116,172,2560,0.0,100.0,100.0,850.00,0101,9.00,500.0
